experiment,avg_dc,ncr_net_dc,ed_dc,et_dc,loss,miou
zdiv005_logits0,0.03,0.00,0.00,0.04,1.12,0.02
zdiv01_logits0,0.00,0.00,0.00,0.00,1.13,6.55
zdiv02_logits0,0.04,0.00,0.00,0.05,1.11,0.02
zdiv0_logits001,0.47,0.00,0.00,0.45,0.84,0.34
zdiv0_logits005,0.45,0.00,0.00,0.44,0.86,0.33
zdiv0_logits01,0.40,0.00,0.00,0.36,0.88,0.28
zdiv01_logits001,0.01,0.00,0.00,0.02,1.14,0.01
zdiv01_logits005,0.01,0.00,0.00,0.01,1.13,0.00
zdiv005_logits005,0.20,0.00,0.00,0.22,1.00,0.12
zdiv005_logits001,0.01,0.00,0.00,0.01,1.13,0.00
zdiv02_logits001,0.01,0.00,0.00,0.01,1.13,0.00
zdiv02_logits005,0.00,0.00,0.00,0.00,1.15,6.18
