experiment,avg_dc,liver_dc,kidney_dc,spleen_dc,pancreas_dc,loss,miou
nofreq_zdiv005_logits0,0.19,0.36,0.34,0.05,0.00,3.57,0.13
nofreq_zdiv01_logits0,0.11,0.12,0.24,0.07,0.00,4.54,0.07
nofreq_zdiv02_logits0,0.04,0.01,0.15,0.02,0.00,5.71,0.03
nofreq_zdiv0_logits001,0.36,0.27,0.70,0.48,0.00,3.91,0.27
nofreq_zdiv0_logits005,0.33,0.38,0.41,0.53,3.39,3.51,0.23
nofreq_zdiv0_logits01,0.25,0.25,0.39,0.35,0.01,4.11,0.16
nofreq_zdiv01_logits001,0.12,0.15,0.25,0.07,0.00,4.30,0.07
nofreq_zdiv01_logits005,0.30,0.17,0.40,0.64,0.01,3.58,0.22
nofreq_zdiv005_logits005,0.15,0.13,0.40,0.07,0.00,4.29,0.10
nofreq_zdiv005_logits001,0.03,0.01,0.10,0.01,0.00,5.89,0.02
nofreq_zdiv02_logits001,0.07,0.03,0.16,0.08,0.00,5.01,0.04
nofreq_zdiv02_logits005,0.07,0.04,0.16,0.07,0.00,4.76,0.04
